periodo,unidad_negocio,ingresos,costos,gastos
2025-01,Unidad Comercial,71603021,39601762,18444945
2025-01,Unidad Industrial,107361781,61869156,22443921
2025-01,Unidad Servicios,73385556,44760796,17825238
2025-01,Unidad Digital,53999088,26048235,11786526
2025-02,Unidad Comercial,80244160,47997747,18352018
2025-02,Unidad Industrial,110436046,74519727,29673146
2025-02,Unidad Servicios,65196839,33152761,13638663
2025-02,Unidad Digital,44213940,28645480,10285758
2025-03,Unidad Comercial,86389150,52250249,15391675
2025-03,Unidad Industrial,116804021,66845380,23331932
2025-03,Unidad Servicios,54603067,33582970,11795706
2025-03,Unidad Digital,46935322,22869109,8786038
2025-04,Unidad Comercial,99320750,55090904,12321750
2025-04,Unidad Industrial,112186890,48544479,26111052
2025-04,Unidad Servicios,68088236,37131879,10664549
2025-04,Unidad Digital,58214723,31364175,11357982
2025-05,Unidad Comercial,86813911,51579272,14690682
2025-05,Unidad Industrial,134868868,73437738,35269829
2025-05,Unidad Servicios,63730715,31224822,7985298
2025-05,Unidad Digital,51818902,27937598,10553552
2025-06,Unidad Comercial,82663070,40308888,16341750
2025-06,Unidad Industrial,121601195,76617193,25445546
2025-06,Unidad Servicios,72868261,39185591,19998178
2025-06,Unidad Digital,47779776,23377746,9543882
2025-07,Unidad Comercial,82181434,34816038,9864586
2025-07,Unidad Industrial,149372594,65962496,36895523
2025-07,Unidad Servicios,56095306,34525668,15315068
2025-07,Unidad Digital,52566197,24192953,8944182
2025-08,Unidad Comercial,91306665,60900016,18144299
2025-08,Unidad Industrial,126295509,60364352,27036019
2025-08,Unidad Servicios,65069004,38639554,17543186
2025-08,Unidad Digital,44739653,28189502,9091319
2025-09,Unidad Comercial,72977917,37356281,17742785
2025-09,Unidad Industrial,96073535,48538042,16196795
2025-09,Unidad Servicios,62350705,41568178,13184612
2025-09,Unidad Digital,51561280,28621644,9764531
2025-10,Unidad Comercial,77875697,46445810,10211167
2025-10,Unidad Industrial,116903462,77107000,14874546
2025-10,Unidad Servicios,68720197,36935279,16544631
2025-10,Unidad Digital,37352254,24212941,5254056
2025-11,Unidad Comercial,87441114,48475753,23876145
2025-11,Unidad Industrial,115269952,60823639,15283114
2025-11,Unidad Servicios,61020130,29808050,12180618
2025-11,Unidad Digital,52739742,28563955,9077896
2025-12,Unidad Comercial,84643085,53081087,20946956
2025-12,Unidad Industrial,146397819,77017058,35915808
2025-12,Unidad Servicios,79188707,53049437,13961921
2025-12,Unidad Digital,40256315,22898049,8298461
